Employee,Permission,TP / FP,Reviewer,Default Choice Nudge,Reviewer Decision,Decision correct?
e3,e8c01c3b4325c60e394f36effb416304,FP,r1,none,reject,correct
e2,e8c01c3b4325c60e394f36effb416304,FP,r1,none,reject,correct
e13,e8c01c3b4325c60e394f36effb416304,TP,r1,none,accept,correct
e12,e8c01c3b4325c60e394f36effb416304,TP,r1,none,accept,correct
e14,e8c01c3b4325c60e394f36effb416304,TP,r1,none,accept,correct
e3,2f3e991675beaf237a9ee93eb22e3175,TP,r1,none,accept,correct
e12,2f3e991675beaf237a9ee93eb22e3175,TP,r1,none,accept,correct
e8,2f3e991675beaf237a9ee93eb22e3175,FP,r1,none,reject,correct
e6,2f3e991675beaf237a9ee93eb22e3175,TP,r1,none,accept,correct
e3,5d258a179bb4739ac33ef1b60410d1c7,TP,r1,none,accept,correct
e9,5d258a179bb4739ac33ef1b60410d1c7,FP,r1,none,reject,correct
e2,5d258a179bb4739ac33ef1b60410d1c7,TP,r1,none,accept,correct
e11,5d258a179bb4739ac33ef1b60410d1c7,FP,r1,none,reject,correct
e4,5d258a179bb4739ac33ef1b60410d1c7,TP,r1,none,accept,correct
e14,5d258a179bb4739ac33ef1b60410d1c7,FP,r1,none,reject,correct
e5,5d258a179bb4739ac33ef1b60410d1c7,TP,r1,none,accept,correct
e13,5c5d73b2bcd5d4e2cce01f1923a43768,FP,r1,none,reject,correct
e7,5c5d73b2bcd5d4e2cce01f1923a43768,FP,r1,none,reject,correct
e8,5c5d73b2bcd5d4e2cce01f1923a43768,FP,r1,none,reject,correct
e12,5c5d73b2bcd5d4e2cce01f1923a43768,FP,r1,none,reject,correct
e5,5c5d73b2bcd5d4e2cce01f1923a43768,FP,r1,none,accept,incorrect
e14,5c5d73b2bcd5d4e2cce01f1923a43768,FP,r1,none,reject,correct
e4,b64ede32c41d4b437031f83f8928903a,TP,r1,none,accept,correct
e11,b64ede32c41d4b437031f83f8928903a,TP,r1,none,accept,correct
e14,b64ede32c41d4b437031f83f8928903a,TP,r1,none,accept,correct
e5,b64ede32c41d4b437031f83f8928903a,TP,r1,none,accept,correct
e3,b64ede32c41d4b437031f83f8928903a,TP,r1,none,accept,correct
e9,b64ede32c41d4b437031f83f8928903a,TP,r1,none,accept,correct
e10,b64ede32c41d4b437031f83f8928903a,TP,r1,none,accept,correct
e13,b64ede32c41d4b437031f83f8928903a,TP,r1,none,accept,correct
e6,b64ede32c41d4b437031f83f8928903a,TP,r1,none,accept,correct
e1,b64ede32c41d4b437031f83f8928903a,TP,r1,none,accept,correct
e12,b64ede32c41d4b437031f83f8928903a,TP,r1,none,accept,correct
e8,b64ede32c41d4b437031f83f8928903a,TP,r1,none,accept,correct
e7,b64ede32c41d4b437031f83f8928903a,TP,r1,none,accept,correct
e2,b64ede32c41d4b437031f83f8928903a,TP,r1,none,accept,correct
e12,531144b4c8ef3df2a75629ff2e53c066,TP,r1,none,accept,correct
e6,531144b4c8ef3df2a75629ff2e53c066,TP,r1,none,accept,correct
e8,531144b4c8ef3df2a75629ff2e53c066,FP,r1,none,reject,correct
e10,531144b4c8ef3df2a75629ff2e53c066,FP,r1,none,reject,correct
e3,531144b4c8ef3df2a75629ff2e53c066,TP,r1,none,accept,correct
e14,1fb0ba8ee828054981b6271075a0efaf,TP,r1,none,accept,correct
e8,1fb0ba8ee828054981b6271075a0efaf,FP,r1,none,reject,correct
e13,1fb0ba8ee828054981b6271075a0efaf,TP,r1,none,accept,correct
e11,1fb0ba8ee828054981b6271075a0efaf,FP,r1,none,reject,correct
e12,1fb0ba8ee828054981b6271075a0efaf,TP,r1,none,accept,correct
e7,f9ace4c651d81f7be661fc64fff97e0c,TP,r1,none,accept,correct
e2,f9ace4c651d81f7be661fc64fff97e0c,FP,r1,none,accept,incorrect
e8,f9ace4c651d81f7be661fc64fff97e0c,TP,r1,none,accept,correct
e10,f9ace4c651d81f7be661fc64fff97e0c,TP,r1,none,accept,correct
e9,f9ace4c651d81f7be661fc64fff97e0c,TP,r1,none,accept,correct
e11,f9ace4c651d81f7be661fc64fff97e0c,TP,r1,none,accept,correct
e6,f9ace4c651d81f7be661fc64fff97e0c,TP,r1,none,accept,correct
e3,f9ace4c651d81f7be661fc64fff97e0c,FP,r1,none,accept,incorrect
e4,f9ace4c651d81f7be661fc64fff97e0c,FP,r1,none,accept,incorrect
e3,3468fea265241f08d599272c627440d5,TP,r1,none,accept,correct
e12,3468fea265241f08d599272c627440d5,FP,r1,none,reject,correct
e1,3468fea265241f08d599272c627440d5,TP,r1,none,accept,correct
e6,3468fea265241f08d599272c627440d5,FP,r1,none,reject,correct
e10,3468fea265241f08d599272c627440d5,FP,r1,none,reject,correct
e8,8d81ec48213501a45ec264e8aea6b6aa,FP,r1,none,reject,correct
e9,8d81ec48213501a45ec264e8aea6b6aa,FP,r1,none,reject,correct
e5,8d81ec48213501a45ec264e8aea6b6aa,FP,r1,none,accept,incorrect
e14,8d81ec48213501a45ec264e8aea6b6aa,FP,r1,none,accept,incorrect
e7,558caa25ef48d0d94a70b1f982a9f7fd,TP,r1,none,accept,correct
e2,558caa25ef48d0d94a70b1f982a9f7fd,FP,r1,none,reject,correct
e1,558caa25ef48d0d94a70b1f982a9f7fd,TP,r1,none,accept,correct
e3,558caa25ef48d0d94a70b1f982a9f7fd,FP,r1,none,reject,correct
e12,9b0489eab5187c425118a3e05126e128,TP,r1,none,accept,correct
e2,9b0489eab5187c425118a3e05126e128,FP,r1,none,reject,correct
e6,9b0489eab5187c425118a3e05126e128,TP,r1,none,accept,correct
e3,9b0489eab5187c425118a3e05126e128,TP,r1,none,accept,correct
e1,1eca5b97e2fdeca13315b61c67d78b21,TP,r1,none,reject,incorrect
e2,1eca5b97e2fdeca13315b61c67d78b21,FP,r1,none,reject,correct
e8,6520fc6b5ea39bbd2c758e810eb201e0,FP,r1,none,reject,correct
e4,ea181283996bfb10a05c1f7da71c4dc4,FP,r1,none,accept,incorrect
e11,ea181283996bfb10a05c1f7da71c4dc4,FP,r1,none,reject,correct
