Nudge,R,t,Mental,Temporal,Performance,Frustration,FDR,FOR,BA
accept,58,13,1,0,1,0,0.225490196078431,0.00344827586206897,0.956891025641026
accept,85,14,0,-2,2,-2,0.0933333333333333,0.0378548895899054,0.913782051282051
accept,58,12,2,1,3,2,0.215686274509804,0,0.96474358974359
accept,63,15,0,-1,1,0,0.257731958762887,0.0271186440677966,0.909935897435897
accept,68,27,0,-2,2,0,0.16304347826087,0.01,0.957211538461539
accept,57,34,1,-1,1,1,0.242718446601942,0.0069204152249135,0.947435897435897
accept,71,23,-3,-3,3,-3,0.112359550561798,0.0033003300330033,0.977724358974359
accept,72,9,-3,-3,3,-3,0.136363636363636,0.0131578947368421,0.955769230769231
accept,69,5,-3,-2,3,-3,0.175824175824176,0.0166112956810631,0.943108974358974
accept,63,9,-3,-3,3,-3,0.185567010309278,0.00338983050847458,0.964903846153846
accept,72,3,-3,-3,3,-3,0.0909090909090909,0,0.987179487179487
accept,95,29,1,0,-2,3,0.107692307692308,0.0672782874617737,0.851282051282051
accept,35,50,1,1,1,-1,0.416,0.0262172284644195,0.872916666666667
accept,69,28,0,0,1,0,0.131868131868132,0.00332225913621262,0.974519230769231
accept,80,14,1,0,2,-1,0.1,0.0256410256410256,0.937179487179487
accept,63,13,1,0,1,-1,0.257731958762887,0.0271186440677966,0.909935897435897
accept,74,60,1,-3,2,0,0.186046511627907,0.0326797385620915,0.911858974358974
accept,55,19,1,-2,2,1,0.266666666666667,0.0104529616724739,0.936378205128205
accept,54,14,1,2,3,0,0.254716981132075,0.0034965034965035,0.950480769230769
accept,41,26,1,-2,2,1,0.327731092436975,0,0.9375
accept,114,21,2,0,-3,3,0.239130434782609,0.130057803468208,0.701121794871795
accept,0,5,1,2,0,0,0.5,0,0.871794871794872
accept,60,34,0,-1,3,-2,0.21,0.00342465753424658,0.960096153846154
accept,75,9,2,-2,1,1,0.211764705882353,0.0423452768729642,0.889903846153846
accept,77,25,1,-1,-2,2,0.120481927710843,0.0226537216828479,0.940224358974359
accept,65,23,0,1,2,-2,0.178947368421053,0.00673400673400673,0.96025641025641
accept,75,21,-1,1,-2,1,0.176470588235294,0.0325732899022801,0.913461538461538
accept,81,26,0,-3,1,1,0.215189873417722,0.0575079872204473,0.86025641025641
accept,62,16,1,0,1,1,0.214285714285714,0.0102040816326531,0.947596153846154
accept,72,12,1,0,2,1,0.204545454545455,0.0328947368421053,0.908653846153846
accept,32,13,1,-2,1,-2,0.3984375,0.0113636363636364,0.899519230769231
accept,74,11,1,0,1,1,0.151162790697674,0.0228758169934641,0.935416666666667
accept,87,23,1,1,0,-1,0.150684931506849,0.0564263322884013,0.869871794871795
accept,70,32,1,0,0,1,0.144444444444444,0.00993377483443709,0.960416666666667
neutral,68,16,2,0,2,2,0.195652173913043,0.02,0.933653846153846
neutral,68,14,-1,1,1,2,0.173913043478261,0.0133333333333333,0.949358974358974
neutral,79,22,-1,-3,2,-1,0.0493827160493827,0.00964630225080386,0.974839743589744
neutral,50,10,1,1,-1,1,0.4,0.049645390070922,0.841987179487179
neutral,72,47,2,-2,2,2,0.113636363636364,0.00657894736842105,0.971474358974359
neutral,67,60,1,0,2,0,0.150537634408602,0.00334448160535117,0.971314102564103
neutral,74,60,3,-2,2,1,0.127906976744186,0.0163398692810458,0.951121794871795
neutral,75,41,3,1,-2,3,0.470588235294118,0.11400651465798,0.717147435897436
neutral,92,58,2,2,-3,3,0.220588235294118,0.0833333333333333,0.807211538461538
neutral,76,56,3,0,0,3,0.19047619047619,0.038961038961039,0.899358974358974
neutral,79,52,3,1,-1,2,0.160493827160494,0.0385852090032154,0.904166666666667
neutral,78,17,0,-1,2,-2,0.109756097560976,0.0225806451612903,0.941826923076923
neutral,59,44,1,-2,0,1,0.207920792079208,0,0.966346153846154
neutral,61,19,0,-1,0,1,0.333333333333333,0.0477815699658703,0.859615384615385
neutral,65,29,-2,-1,2,2,0.157894736842105,0,0.975961538461538
neutral,38,22,2,-3,-1,1,0.377049180327869,0.0148148148148148,0.901282051282051
